1,"Khối Sản phẩm","Phụ trách định hướng, thiết kế và phát triển các sản phẩm công nghệ"
2,"Khối Khách hàng Cá nhân","Tập trung xây dựng trải nghiệm và hỗ trợ khách hàng sử dụng sản phẩm cá nhân"
3,"Khối Khách hàng Doanh nghiệp","Triển khai giải pháp và chăm sóc khách hàng doanh nghiệp"
4,"Phòng Vận hành","Quản lý quy trình vận hành hệ thống, hỗ trợ người dùng và xử lý sự cố"
5,"Phòng Tài chính Kế toán","Theo dõi tài chính, ngân sách và lập báo cáo quản trị"
6,"Phòng Nhân sự","Phụ trách tuyển dụng, đào tạo, văn hóa doanh nghiệp và chế độ phúc lợi"
7,"Phòng Kỹ thuật Hệ thống","Xây dựng, bảo trì hạ tầng phần mềm, mạng và bảo mật thông tin"
8,"Phòng Đảm bảo Chất lượng","Kiểm thử phần mềm, đảm bảo chất lượng sản phẩm trước khi phát hành"
9,"Phòng Pháp chế & Tuân thủ","Tư vấn pháp lý và đảm bảo hoạt động tuân thủ theo quy định"
10,"Phòng Kiểm toán nội bộ","Đánh giá và cải tiến quy trình, kiểm soát rủi ro nội bộ"
11,"Phòng Marketing","Xây dựng chiến lược marketing sản phẩm, truyền thông và thương hiệu"
12,"Phòng Hành chính Tổng hợp","Hỗ trợ vận hành văn phòng, quản lý tài sản và hậu cần nội bộ"
