1,"CEO (Giám đốc điều hành)","Chịu trách nhiệm định hướng chiến lược và vận hành toàn bộ công ty"
2,"COO (Giám đốc vận hành)","Hỗ trợ CEO, điều phối các phòng ban và tối ưu hiệu quả vận hành"
3,"Giám đốc Trung tâm Kinh doanh","Quản lý hoạt động kinh doanh và phát triển thị trường khu vực"
4,"Phó Giám đốc Kinh doanh","Hỗ trợ giám đốc trong việc điều phối đội ngũ kinh doanh"
5,"Trưởng phòng Sản phẩm","Phụ trách định hướng và quản lý vòng đời sản phẩm công nghệ"
6,"Chuyên viên Sản phẩm","Thu thập yêu cầu, viết đặc tả và theo dõi tiến độ phát triển sản phẩm"
7,"Trưởng phòng Tài chính","Giám sát kế hoạch tài chính, dòng tiền và báo cáo quản trị"
8,"Kế toán viên","Thực hiện nghiệp vụ kế toán, tổng hợp và đối soát số liệu"
9,"Trưởng phòng Khách hàng Cá nhân","Quản lý nhóm chăm sóc và phát triển khách hàng cá nhân"
10,"Chuyên viên Hỗ trợ Khách hàng","Tư vấn, hỗ trợ người dùng và tiếp nhận phản hồi sản phẩm"
11,"Trưởng phòng Khách hàng Doanh nghiệp","Điều phối giải pháp, quan hệ khách hàng và phát triển B2B"
12,"Chuyên viên Tư vấn Doanh nghiệp","Hỗ trợ kỹ thuật và tư vấn triển khai cho khách hàng doanh nghiệp"
13,"Nhân viên Hỗ trợ Kỹ thuật","Xử lý yêu cầu kỹ thuật và vận hành phần mềm"
14,"Chuyên viên Kiểm thử","Kiểm thử phần mềm, đảm bảo chất lượng trước khi release"
15,"Trưởng phòng Nhân sự","Xây dựng chiến lược nhân sự, văn hóa và phát triển đội ngũ"
16,"Chuyên viên Nhân sự","Thực hiện tuyển dụng, đào tạo và hành chính nhân sự"
17,"Trưởng phòng Kỹ thuật","Quản lý đội ngũ lập trình viên và giám sát kiến trúc hệ thống"
18,"Kỹ sư phần mềm","Phát triển, bảo trì và tối ưu sản phẩm công nghệ"
